,Hotel_Name,Location,Destination,Facilities,Original Price,Current Price,Taxes and Charges,Discount,Price per Day,Hotel_Rating,Rating_Category,Preferred_Hotel,Reviews_available,Free_cancellation,pay at the property,Breakfast included?
387,Olive Hotel Electronic City by Embassy Group,"Electronic City, Bangalore",Bangalore,Standard King Room1 extra-large double bedNo prepayment needed – ,0.0,87428.0,10491.0,0.0,3497.11,8.5,Very Good,YES,551.0,YES,YES,NO
388,Stayhome Suites,Bangalore,Bangalore,"One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 28m²2 beds (1 double, 1 sofa bed)",0.0,62160.0,7459.0,0.0,2486.39,8.3,Very Good,YES,75.0,YES,NO,NO
389,Royal Ace Boutique Hotel - Manyata Techpark,"Nagavara, Bangalore",Bangalore,Deluxe Double Room1 double bedNo prepayment needed – ,0.0,158760.0,19051.0,0.0,6350.39,7.8,Good,YES,299.0,YES,YES,YES
390,Astra Hotels & Suites - Marathahalli,Bangalore,Bangalore,Classic Triple Room1 large double bed,119672.0,77787.0,10048.0,41885.0,3136.96,7.7,Good,YES,193.0,YES,NO,NO
391,Olive Hotel Indiranagar 100Ft Road by Embassy Group,"Indiranagar, Bangalore",Bangalore,Double Room1 large double bedNo prepayment needed – ,0.0,80640.0,9677.0,0.0,3225.61,7.7,Good,YES,289.0,YES,YES,NO
392,The Altruist Business Hotel Whitefield,"Whitefield, Bangalore",Bangalore,Standard Queen Room1 double bedNo prepayment needed – ,150250.0,117195.0,14063.0,33055.0,4687.79,7.3,Good,YES,543.0,YES,YES,NO
393,The Oberoi Bengaluru,"MG Road, Bangalore",Bangalore,Room assigned upon arrival1 large double bed,0.0,590400.0,106272.0,0.0,24881.14,9.3,Superb,YES,0.0,NO,NO,NO
394,Windfall Service Apartment,"Yelahanka, Bangalore",Bangalore,"Two-Bedroom Superior ApartmentEntire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 93m²4 beds (2 singles, 1 extra-large double, 1 sofa bed)",0.0,187996.0,22560.0,0.0,7519.86,9.0,Superb,YES,33.0,NO,NO,NO
395,SS Mystic Apartotel,Bangalore,Bangalore,"Three-Bedroom ApartmentEntire apartment • 3 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 232m²4 beds (3 doubles, 1 sofa bed)",0.0,160650.0,19278.0,0.0,6426.0,8.8,Fabulous,YES,37.0,YES,NO,NO
396,Olive Zip Koramangala 4th Block by Embassy Group,"Koramangala, Bangalore",Bangalore,Standard Double Room1 double bedNo prepayment needed – ,0.0,63594.0,7631.0,0.0,2543.75,7.8,Good,YES,133.0,YES,YES,NO
